heading (radians),x (meters),y (meters),theta (radians),cost
-0.0005816684255914544,-1.2268349079739354,-0.5985612467851351,-0.0005816684255914544,0.008389414394306807
-0.0008653964711248824,-1.218912612359377,-0.5985669724270997,-0.0008653964711248824,0.00792229768359071
-0.0010226932473124085,-1.2101022801812948,-0.5985753699042425,-0.0010226932473124085,0.008810336180065543
-0.0010767181867083891,-1.2012619645282991,-0.5985846857618609,-0.0010767181867083891,0.008840320561484406
-0.0010992953128868492,-1.1924209448850238,-0.5985943765181604,-0.0010992953128868492,0.008841024954355566
-0.0010847038271824287,-1.1840364460253443,-0.5986037218535699,-0.0010847038271824287,0.00838450406781826
-0.0010602662898291898,-1.1756602262884752,-0.5986128800625816,-0.0010602662898291898,0.008376224743469309
-0.0010303867289630539,-1.167741269429272,-0.5986212497506627,-0.0010303867289630539,0.007918961282239073
-0.0010019147289278487,-1.15892774903212,-0.5986301875209655,-0.0010019147289278487,0.008813524929036752
-0.0009853535626392338,-1.1500874001406878,-0.5986389546098733,-0.0009853535626392338,0.008840353238649094
